station_id,name,lat,lng
station-ときわ台,ときわ台,35.7590265,139.6895263
station-三ノ輪,三ノ輪,35.7299780,139.7918951
station-上野,上野,35.7140413,139.7771164
station-下落合,下落合,35.7157663,139.6954383
station-中野,中野,35.7058302,139.6656330
station-亀戸,亀戸,35.6976987,139.8271380
station-京成金町,京成金町,35.7686276,139.8704721
station-住吉,住吉,35.6889959,139.8156854
station-八幡山,八幡山,35.6698828,139.6157094
station-北千住,北千住,35.7502577,139.8043853
station-北綾瀬,北綾瀬,35.7763112,139.8320505
station-北赤羽,北赤羽,35.7866964,139.7061831
station-千住大橋,千住大橋,35.7424328,139.7970887
station-千石,千石,35.7275882,139.7457048
station-南千住,南千住,35.7328935,139.7992252
station-南砂町,南砂町,35.6683446,139.8318642
station-原宿,原宿,35.6702000,139.7027000
station-品川,品川,35.6274838,139.7377655
station-品川シーサイド,品川シーサイド,35.6097199,139.7498775
station-地下鉄成増,地下鉄成増,35.7758799,139.6330045
station-大山,大山,35.7487350,139.7026702
station-大森海岸,大森海岸,35.5873848,139.7342973
station-大泉学園,大泉学園,35.7496263,139.5850661
station-学芸大学,学芸大学,35.6298732,139.6862161
station-小岩,小岩,35.7326623,139.8816182
station-平井,平井,35.7067489,139.8425540
station-後楽園,後楽園,35.7073372,139.7512155
station-志茂,志茂,35.7779043,139.7324055
station-押上,押上,35.7105913,139.8132067
station-新三河島,新三河島,35.7373123,139.7741158
station-新中野,新中野,35.6974599,139.6686428
station-新井薬師前,新井薬師前,35.7159804,139.6706552
station-新小岩,新小岩,35.7167909,139.8582645
station-新御徒町,新御徒町,35.7070114,139.7820289
station-日暮里,日暮里,35.7280064,139.7713776
station-東中野,東中野,35.7062442,139.6832762
station-東十条,東十条,35.7638484,139.7268749
station-東大島,東大島,35.6889178,139.8497956
station-東武練馬,東武練馬,35.7686860,139.6626700
station-東陽町,東陽町,35.6695961,139.8174761
station-東高円寺,東高円寺,35.6978043,139.6577966
station-板橋,板橋,35.7453955,139.7195098
station-板橋区役所前,板橋区役所前,35.7513477,139.7100400
station-板橋本町,板橋本町,35.7614305,139.7055249
station-桜新町,桜新町,35.6317241,139.6453688
station-梅ケ丘,梅ヶ丘,35.6560059,139.6535807
station-森下,森下,35.6879977,139.7970443
station-椎名町,椎名町,35.7264476,139.6948922
station-武蔵新田,武蔵新田,35.5681471,139.6926265
station-江戸川橋,江戸川橋,35.7091319,139.7341880
station-池上,池上,35.5720205,139.7030490
station-浅草,浅草,35.7089590,139.7965668
station-王子,王子,35.7554462,139.7371227
station-王子神谷,王子神谷,35.7658201,139.7357188
station-用賀,用賀,35.6266472,139.6341544
station-田原町,田原町,35.7098420,139.7907747
station-田端,田端,35.7383219,139.7606875
station-町屋,町屋,35.7421665,139.7813906
station-目白,目白,35.7211919,139.7064645
station-目黒,目黒,35.6340669,139.7157332
station-矢口渡,矢口渡,35.5625766,139.7002588
station-石神井公園,石神井公園,35.7434548,139.6069909
station-祖師ケ谷大蔵,祖師ヶ谷大蔵,35.6427365,139.6094958
station-竹ノ塚,竹ノ塚,35.7944805,139.7908431
station-笹塚,笹塚,35.6737284,139.6673632
station-糀谷,糀谷,35.5544534,139.7293033
station-練馬,練馬,35.7361081,139.6521199
station-練馬春日町,練馬春日町,35.7513980,139.6403755
station-船堀,船堀,35.6844578,139.8640396
station-芦花公園,芦花公園,35.6705822,139.6083951
station-落合,落合,35.7106637,139.6859133
station-落合南長崎,落合南長崎,35.7225709,139.6830940
station-葛西,葛西,35.6642465,139.8733090
station-蒲田,蒲田,35.5615700,139.7180846
station-蓮根,蓮根,35.7845940,139.6802189
station-西大島,西大島,35.6895108,139.8269603
station-西小山,西小山,35.6154700,139.6987365
station-西新井,西新井,35.7760518,139.7894543
station-西新宿五丁目,西新宿五丁目,35.6898839,139.6845183
station-西日暮里,西日暮里,35.7319319,139.7659339
station-西永福,西永福,35.6787507,139.6354902
station-西荻窪,西荻窪,35.7037331,139.5996053
station-西葛西,西葛西,35.6645795,139.8593173
station-豊洲,豊洲,35.6564008,139.7952304
station-有明テニスの森,有明テニスの森,35.6401034,139.7887923
station-赤羽,赤羽,35.7781394,139.7207999
station-赤羽岩淵,赤羽岩淵,35.7832719,139.7221826
station-辰巳,辰巳,35.6467560,139.8092950
station-金町,金町,35.7695843,139.8706926
station-錦糸町,錦糸町,35.6963122,139.8150431
station-阿佐ケ谷,阿佐ケ谷,35.7046538,139.6365111
station-雑司が谷,雑司が谷,35.7198086,139.7141458
station-青砥,青砥,35.7455654,139.8561184
station-馬込,馬込,35.5967788,139.7119274
station-駒沢大学,駒沢大学,35.6331934,139.6611562
station-駒込,駒込,35.7365998,139.7470505
station-高井戸,高井戸,35.6833662,139.6155134
station-高田馬場,高田馬場,35.7134826,139.7044742
station-鶯谷,鶯谷,35.7217035,139.7779166
