ward_name,rent_cluster_group,rent_cagr,inventory_trend_score,tower_regulation_flag
千代田区,1,0.055,0.95,0
中央区,1,0.055,0.95,0
港区,1,0.055,0.95,0
渋谷区,1,0.055,1.0,0
新宿区,2,0.050,1.0,0
目黒区,2,0.050,1.03,0
品川区,2,0.050,1.03,0
文京区,2,0.050,1.0,0
台東区,2,0.050,1.03,0
江東区,3,0.045,1.03,0
墨田区,3,0.045,1.03,0
中野区,3,0.045,1.0,0
世田谷区,3,0.045,1.03,1
豊島区,3,0.045,1.0,0
杉並区,4,0.038,1.0,1
大田区,4,0.038,1.03,0
北区,4,0.038,1.0,0
荒川区,4,0.038,1.0,0
板橋区,5,0.040,1.0,0
練馬区,5,0.040,1.0,1
江戸川区,5,0.040,1.0,0
葛飾区,5,0.040,1.0,0
足立区,5,0.040,1.0,0
